keeper,duplicate,distance
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jan/video_1920x1080_17.0M_0min7sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_17.0M_0min7sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jan/video_1920x1080_26.2M_0min12sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_26.2M_0min12sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jan/video_1920x1080_27.7M_0min9sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_27.7M_0min9sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jan/video_1920x1080_34.3M_0min11sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_34.3M_0min11sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jan/video_1920x1080_75.0M_0min26sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_75.0M_0min26sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jan/video_1920x1080_72.4M_0min24sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_72.4M_0min24sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jul/video_1920x1080_34.1M_0min11sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_34.1M_0min11sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jul/video_1920x1080_70.5M_0min23sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_70.5M_0min23sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2020/Apr/video_1920x1080_17.7M_0min13sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_17.7M_0min13sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2020/Apr/video_1920x1080_36.3M_0min13sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_36.3M_0min13sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2020/Aug/video_3840x2160_30.3M_0min10sec.mp4,/var/lib/plexmediaserver/Library/videos/video_3840x2160_30.3M_0min10sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2020/Feb/video_1920x1080_36.2M_0min12sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_36.2M_0min12sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2020/Dec/video_1920x1080_54.0M_0min4sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_54.0M_0min4sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2020/Feb/video_1920x1080_23.7M_0min7sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_23.7M_0min7sec_2.mp4,0
